hs1	LINC00917-FENDRR	chr16:86,430,087-86,430,726	chr8:123,526,795-123,527,412
hs2	MIR5093-GSE1	chr16:85,620,095-85,621,736	chr8:123,040,354-123,041,753
hs3	LOC101928248-DYNLRB2	chr16:80,423,343-80,424,652	chr8:118,908,037-118,909,331
hs4	LOC101928248-DYNLRB2	chr16:80,372,593-80,373,755	chr8:118,859,044-118,861,529
hs5	LOC101928248-DYNLRB2	chr16:79,969,907-79,971,297	chr8:118,537,472-118,539,053
hs6	LOC101928248-DYNLRB2	chr16:79,949,950-79,951,518	chr8:118,522,173-118,523,464
hs7	WWOX-MAF	chr16:79,026,563-79,028,162	chr8:117,673,614-117,675,248
hs9	WWOX-MAF	chr16:78,933,253-78,934,686	chr8:117,601,511-117,604,146
hs10	WWOX-MAF	chr16:78,832,182-78,833,595	chr8:117,514,741-117,516,180
hs11	WWOX-MAF	chr16:78,643,215-78,644,831	chr8:117,382,095-117,383,705
hs12	WWOX-MAF	chr16:78,510,608-78,511,944	chr8:117,268,335-117,269,838
hs13	WWOX-MAF	chr16:78,436,409-78,437,708	chr8:117,215,454-117,216,370
hs14	WWOX-MAF	chr16:78,387,021-78,388,685	chr8:117,174,045-117,175,688
hs15	WWOX-MAF	chr16:78,209,751-78,211,362	chr8:117,023,111-117,024,411
hs16	ZFHX3(intragenic)	chr16:72,980,900-72,982,545	chr8:111,326,301-111,328,549
hs17	ZFHX3(intragenic)	chr16:72,929,878-72,931,288	chr8:111,374,259-111,375,397
hs18	ZFHX3(intragenic)	chr16:72,887,593-72,888,513	chr8:111,413,213-111,414,149
hs19	ZFHX3(intragenic)	chr16:72,839,562-72,841,124	chr8:111,461,314-111,462,516
hs20	PMFBP1-ZFHX3	chr16:72,738,568-72,740,149	chr8:111,558,249-111,559,746
hs21	PMFBP1-ZFHX3	chr16:72,275,206-72,276,782	chr8:111,940,497-111,942,109
hs22	PMFBP1-ZFHX3	chr16:72,254,566-72,255,825	chr8:111,960,355-111,961,461
hs23	IRX6-MMP2	chr16:55,424,416-55,425,738	chr8:95,266,766-95,268,099
hs24	IRX6-MMP2	chr16:55,418,032-55,418,881	chr8:95,259,157-95,260,013
hs25	IRX5-IRX6	chr16:55,240,593-55,241,874	chr8:95,078,974-95,079,621
hs26	IRX5-IRX6	chr16:55,223,185-55,224,283	chr8:95,069,303-95,070,373
hs27	IRX5-IRX6	chr16:55,079,237-55,080,429	chr8:94,973,252-94,974,310
hs28	IRX5-IRX6	chr16:55,074,360-55,075,075	chr8:94,968,792-94,969,455
hs31	IRX3-CRNDE	chr16:54,799,102-54,800,160	chr8:94,755,077-94,756,216
hs32	IRX3-CRNDE	chr16:54,784,643-54,785,615	chr8:94,743,123-94,744,045
hs34	IRX3-CRNDE	chr16:54,679,467-54,680,359	chr8:94,651,573-94,652,441
hs35	IRX3-CRNDE	chr16:54,665,329-54,667,258	chr8:94,637,335-94,639,303
hs36	IRX3-CRNDE	chr16:54,657,182-54,658,317	chr8:94,624,335-94,625,417
hs37	IRX3-CRNDE	chr16:54,650,598-54,651,882	chr8:94,618,458-94,619,728
hs38	IRX3-CRNDE	chr16:54,624,504-54,625,510	chr8:94,594,340-94,595,589
hs39	IRX3-CRNDE	chr16:54,618,981-54,620,264	chr8:94,589,441-94,590,715
hs41	IRX3-CRNDE	chr16:54,611,467-54,612,437	chr8:94,582,596-94,583,541
hs42	IRX3-CRNDE	chr16:54,579,726-54,580,655	chr8:94,553,238-94,554,176
hs43	IRX3-CRNDE	chr16:54,575,878-54,577,925	chr8:94,549,450-94,551,438
